age,employment_status,annual_income,avg_monthly_balance,num_deposits_per_month,debit_card_spending,credit_score,num_open_loans,total_outstanding_debt,late_payment_count,loan_default_history,loan_application_amount,loan_repayment_history,debt_to_income_ratio,credit_risk
22,Employed,56779.0,,2,2283,542.0,3,26824.0,1,0,3645,Good,0.472,0
41,Employed,47525.0,1507.0,2,808,647.0,2,27156.0,2,0,19095,Average,0.571,1
53,Employed,80140.0,4565.0,5,1059,595.0,3,58743.0,2,0,13373,Average,0.733,1
32,Self-Employed,43627.0,2351.0,9,1313,697.0,2,20197.0,1,0,18302,Excellent,0.463,0
42,Self-Employed,94101.0,4190.0,9,1408,631.0,0,35835.0,0,0,11266,Excellent,0.381,1
64,Employed,29508.0,679.0,10,495,763.0,2,21207.0,2,0,7872,Average,0.719,0
45,Employed,30052.0,100.0,4,1201,800.0,3,,3,0,11444,Poor,0.699,0
47,Employed,80272.0,2043.0,12,2396,731.0,1,54340.0,3,0,11642,Good,0.677,0
62,Employed,52386.0,3698.0,9,2383,564.0,3,28296.0,0,0,6022,Average,0.54,1
48,Self-Employed,42849.0,2669.0,12,904,793.0,0,25617.0,0,0,13750,Average,0.598,0
36,Employed,89735.0,7453.0,1,1699,798.0,2,11097.0,3,0,22234,Good,0.124,0
35,Employed,39383.0,1940.0,9,2442,681.0,0,20205.0,3,0,10716,Good,0.513,0
64,Employed,49265.0,2237.0,11,2078,779.0,3,11637.0,1,0,5852,Good,0.236,0
23,Self-Employed,118737.0,5596.0,7,2227,639.0,1,27564.0,0,0,23981,Average,0.232,1
57,Self-Employed,128235.0,3267.0,9,1693,540.0,4,64536.0,0,1,18303,Good,0.503,1
27,Employed,130602.0,5945.0,11,4318,623.0,4,83894.0,1,0,52878,Good,0.642,0
41,Self-Employed,47095.0,2108.0,10,1695,810.0,3,35450.0,3,0,13307,Excellent,0.753,0
29,Employed,108226.0,1316.0,5,4386,568.0,2,53156.0,1,1,15613,Excellent,0.491,1
59,Employed,32636.0,142.0,6,1340,680.0,1,11626.0,2,0,2214,Average,0.356,1
38,Employed,33399.0,1514.0,1,628,683.0,2,19044.0,2,0,1653,Good,0.57,0
24,Employed,15098.0,406.0,2,554,642.0,2,392.0,0,0,5183,Excellent,0.026,0
45,Employed,138022.0,258.0,15,7828,647.0,1,62431.0,1,0,50578,Excellent,0.452,0
34,Unemployed,34197.0,1917.0,1,235,685.0,2,16470.0,0,1,13031,Average,0.482,1
29,Employed,51303.0,2494.0,1,1675,638.0,4,20576.0,2,0,23939,Good,0.401,1
46,Employed,33337.0,719.0,7,1582,573.0,2,5263.0,3,0,8674,Average,0.158,0
22,Employed,80614.0,2084.0,14,1916,696.0,3,34211.0,1,0,34758,Good,0.424,0
40,Employed,44734.0,4285.0,13,2291,761.0,1,6817.0,4,0,2948,Excellent,0.152,0
48,Unemployed,26834.0,605.0,3,1592,745.0,3,10632.0,0,0,12497,Good,0.396,0
27,Employed,70123.0,3246.0,15,2507,619.0,1,23474.0,1,0,7713,Excellent,0.335,1
64,Employed,24998.0,1310.0,15,100,586.0,4,10473.0,1,0,3922,Good,0.419,0
28,Self-Employed,34701.0,1269.0,15,1344,659.0,2,18902.0,1,0,6385,Good,0.545,0
55,Employed,17263.0,1980.0,14,1426,798.0,1,20433.0,0,0,1000,Excellent,1.184,0
34,Employed,25132.0,1872.0,1,1825,728.0,5,7113.0,0,0,1615,Excellent,0.283,0
37,Employed,60675.0,2631.0,1,2636,733.0,2,18748.0,1,1,10885,Poor,0.309,0
56,Employed,18669.0,1698.0,7,1612,747.0,3,5899.0,4,1,7114,Poor,0.316,0
60,Unemployed,24354.0,2226.0,11,624,712.0,0,7632.0,2,0,1339,Good,0.313,0
24,Self-Employed,54928.0,100.0,12,1167,689.0,4,15848.0,1,0,7660,Excellent,0.289,0
22,Employed,40786.0,1621.0,15,1940,730.0,1,13211.0,1,0,1000,Excellent,0.324,0
26,Self-Employed,164507.0,3869.0,5,6813,639.0,2,33977.0,1,0,56542,Excellent,0.207,1
62,Employed,150803.0,8377.0,13,7181,574.0,0,19880.0,1,0,38372,Excellent,0.132,1
24,Employed,34123.0,3792.0,1,702,734.0,4,9783.0,2,0,10540,Excellent,0.287,0
49,Employed,74721.0,4702.0,8,2062,773.0,1,44115.0,3,0,39079,Good,0.59,0
38,Employed,83050.0,5749.0,15,5165,596.0,6,47980.0,2,0,16833,Average,0.578,1
46,Employed,39596.0,1980.0,6,1272,742.0,3,7017.0,1,0,9411,Excellent,0.177,0
64,Employed,24162.0,448.0,5,937,806.0,1,19073.0,0,1,6178,Good,0.789,0
54,Unemployed,54629.0,1786.0,6,2399,680.0,0,25738.0,1,0,25873,Excellent,0.471,0
30,Employed,50012.0,2605.0,8,1781,619.0,4,34545.0,2,0,12266,Good,0.691,1
56,Employed,43279.0,1112.0,12,756,689.0,1,27768.0,0,0,8195,Good,0.642,0
34,Employed,70148.0,2422.0,9,3571,639.0,2,25107.0,1,0,15076,Average,0.358,1
51,Employed,36395.0,100.0,11,426,634.0,2,9739.0,0,0,7790,Average,0.268,1
35,Employed,29187.0,1463.0,11,348,712.0,1,19851.0,1,0,1024,Excellent,0.68,0
28,Employed,58401.0,4558.0,9,2540,560.0,1,38909.0,2,0,2916,Good,0.666,1
34,Self-Employed,68007.0,2881.0,11,2039,572.0,2,18303.0,3,0,11166,Good,0.269,0
43,Employed,28794.0,2275.0,3,1778,681.0,1,12097.0,1,0,9206,Poor,0.42,0
60,Employed,91632.0,4178.0,1,2454,678.0,2,46159.0,0,0,26239,Poor,0.504,0
41,Employed,20771.0,100.0,10,977,706.0,2,9415.0,1,0,3957,Poor,0.453,0
36,Employed,40020.0,1521.0,6,100,821.0,2,21413.0,1,0,1000,Good,0.535,0
65,Employed,47724.0,2366.0,15,303,688.0,2,9834.0,1,1,11630,Poor,0.206,0
38,Self-Employed,38761.0,620.0,7,1537,725.0,5,7694.0,0,0,4358,Excellent,0.198,0
44,Employed,40308.0,3329.0,6,184,607.0,6,19301.0,0,0,3184,Poor,0.479,1
46,Employed,153919.0,10133.0,5,5320,738.0,2,36420.0,1,1,44916,Excellent,0.237,0
45,Employed,34444.0,1210.0,13,373,641.0,2,6463.0,2,1,7947,Poor,0.188,0
65,Employed,200000.0,6742.0,10,10014,685.0,2,120000.0,2,0,60000,Good,0.6,0
61,Employed,69948.0,3735.0,11,2370,672.0,2,11788.0,1,0,28926,Good,0.169,0
49,Self-Employed,,3200.0,5,3016,757.0,1,21363.0,2,0,19299,Poor,0.369,0
35,Employed,71469.0,2590.0,12,1851,582.0,2,44741.0,0,0,12227,Poor,0.626,0
65,Self-Employed,200000.0,5424.0,14,4677,509.0,2,90903.0,0,0,15222,Excellent,0.455,0
21,Employed,31844.0,3328.0,10,2009,664.0,0,18050.0,0,0,10044,Good,0.567,0
45,Self-Employed,29699.0,313.0,3,492,715.0,1,23550.0,1,0,6109,Average,0.793,1
27,Employed,36312.0,100.0,4,1372,691.0,4,27193.0,0,1,13724,Average,0.749,0
29,Employed,55981.0,2348.0,14,2288,772.0,0,31579.0,2,0,13420,Excellent,0.564,0
44,Employed,21288.0,205.0,10,191,713.0,2,14500.0,3,0,1000,Excellent,0.681,0
21,Unemployed,55680.0,2865.0,3,2473,638.0,1,27515.0,0,1,10275,Good,0.494,1
64,Employed,139600.0,6658.0,9,3573,506.0,0,87346.0,1,0,31840,Average,0.626,1
28,Employed,59776.0,4246.0,14,727,662.0,3,39865.0,1,1,13287,Poor,0.667,0
44,Employed,46822.0,1885.0,3,2229,757.0,1,27253.0,0,0,11737,Good,0.582,0
31,Self-Employed,39148.0,100.0,15,413,651.0,8,19577.0,1,1,10146,Poor,0.5,1
37,Employed,90154.0,5243.0,12,1364,682.0,1,33804.0,2,0,11773,Average,0.375,0
28,Self-Employed,34922.0,1337.0,5,1965,712.0,0,3645.0,1,0,3974,Excellent,0.104,0
55,Employed,151844.0,8566.0,6,3508,604.0,3,15209.0,1,0,58651,Good,0.1,0
55,Employed,159283.0,2642.0,8,5064,727.0,3,101743.0,0,1,21487,Average,0.639,0
53,Employed,63342.0,3268.0,10,2147,803.0,3,11659.0,0,0,11920,Good,0.184,0
25,Unemployed,54653.0,2822.0,6,1782,667.0,0,17949.0,3,0,19337,Average,0.328,1
62,Employed,96950.0,7369.0,6,4199,595.0,0,58516.0,0,0,27187,Average,0.604,1
59,Unemployed,100431.0,4629.0,6,2615,675.0,1,8299.0,2,1,38457,Poor,0.083,1
61,Employed,35305.0,3112.0,1,2238,513.0,2,22032.0,1,0,1000,Poor,0.624,1
48,Employed,41171.0,100.0,10,1692,705.0,2,0.0,0,0,10155,Good,0.0,0
27,Employed,26577.0,2040.0,11,100,714.0,6,19752.0,1,0,8655,Average,0.743,0
29,Employed,68877.0,1631.0,6,2030,806.0,1,16293.0,1,0,15712,Good,0.237,0
28,Self-Employed,79359.0,1296.0,1,3689,665.0,0,7026.0,0,0,19600,Good,0.089,0
32,Unemployed,26177.0,1197.0,13,100,711.0,2,33740.0,2,0,6759,Excellent,1.289,1
54,Self-Employed,42819.0,3591.0,2,2614,615.0,3,21287.0,1,0,9479,Average,0.497,1
53,Self-Employed,26215.0,100.0,8,657,653.0,3,7448.0,0,0,13850,Poor,0.284,0
43,Employed,33549.0,3737.0,8,2440,566.0,2,19354.0,2,0,15288,Good,0.577,1
44,Employed,74470.0,683.0,2,2591,665.0,2,53879.0,1,0,21848,Poor,0.723,0
57,Unemployed,36742.0,3015.0,12,415,657.0,1,4208.0,2,0,4780,Average,0.115,0
55,Employed,46613.0,1267.0,15,2534,702.0,1,33941.0,2,0,1768,Excellent,0.728,0
64,Self-Employed,22473.0,1558.0,3,1217,633.0,3,6515.0,2,1,5998,Excellent,0.29,1
60,Self-Employed,60958.0,2983.0,6,2062,686.0,2,18123.0,1,0,18158,Good,0.297,0
42,Employed,53677.0,2485.0,4,2670,655.0,4,17557.0,1,0,17553,Good,0.327,0
47,Unemployed,36833.0,1827.0,9,1683,655.0,3,10705.0,1,0,12077,Good,0.291,1
55,Employed,49569.0,5099.0,7,998,686.0,2,0.0,0,0,14060,Good,0.0,1
21,Employed,60733.0,3211.0,10,1692,683.0,2,18876.0,1,1,18651,Good,0.311,0
55,Employed,35134.0,3440.0,9,1164,737.0,3,6173.0,1,0,12320,Excellent,0.176,0
57,Employed,24420.0,4331.0,13,300,671.0,1,20818.0,0,0,3114,Excellent,0.852,0
34,Employed,148472.0,6826.0,7,6170,654.0,3,81245.0,1,0,32369,Good,0.547,1
23,Employed,38824.0,100.0,13,1432,666.0,3,20541.0,2,0,15728,Average,0.529,0
21,Self-Employed,52150.0,866.0,6,100,626.0,2,10394.0,4,0,9088,Good,0.199,0
25,Unemployed,95899.0,5085.0,14,2488,653.0,3,63054.0,1,0,7715,Excellent,0.658,1
46,Employed,200000.0,5815.0,4,6994,832.0,6,52012.0,2,0,60000,Good,0.26,0
34,Employed,27740.0,100.0,8,1151,612.0,4,13679.0,1,0,7084,Good,0.493,1
59,Unemployed,70438.0,2680.0,12,4062,659.0,0,26016.0,1,0,11246,Good,0.369,0
47,Employed,37270.0,1708.0,12,1174,651.0,2,23173.0,0,0,3521,Good,0.622,1
29,Employed,40895.0,793.0,6,1474,661.0,3,3390.0,2,0,15759,Good,0.083,0
35,Employed,37011.0,1621.0,10,553,655.0,1,647.0,1,1,17177,Average,0.017,0
35,Employed,29613.0,1355.0,5,778,701.0,3,15560.0,1,0,6723,Average,0.525,0
46,Employed,53765.0,2341.0,13,2436,552.0,2,16105.0,0,0,23738,Poor,0.3,1
62,Unemployed,24443.0,1682.0,6,153,758.0,5,12177.0,2,0,8164,Good,0.498,0
33,Employed,92580.0,6389.0,12,2326,727.0,2,69143.0,0,0,10647,Good,0.747,1
52,Employed,56689.0,1893.0,13,848,587.0,0,5167.0,3,1,16396,Average,0.091,1
59,Employed,69385.0,1094.0,6,1894,510.0,0,29153.0,0,0,4061,Average,0.42,1
52,Employed,42561.0,1758.0,2,1671,607.0,2,13263.0,1,1,11651,Good,0.312,1
24,Employed,44942.0,2876.0,3,1119,662.0,2,10011.0,1,0,15227,Average,0.223,0
50,Self-Employed,64424.0,3188.0,10,965,850.0,1,5453.0,1,0,29317,Average,0.085,0
57,Self-Employed,28994.0,839.0,9,1000,721.0,1,24757.0,1,0,6945,Poor,0.854,1
43,Employed,45170.0,1912.0,8,1609,544.0,2,1934.0,4,0,15135,Good,0.043,1
59,Unemployed,34279.0,2246.0,8,1902,628.0,1,15331.0,1,1,8824,Poor,0.447,1
65,Self-Employed,33701.0,2949.0,1,952,676.0,2,32271.0,0,0,1000,Good,0.958,0
35,Self-Employed,17235.0,100.0,12,821,699.0,3,10175.0,0,0,4645,Average,0.59,0
63,Employed,114889.0,3925.0,9,1831,581.0,5,33013.0,0,0,32842,Good,0.287,1
49,Employed,37703.0,1752.0,4,1280,670.0,4,965.0,4,0,7905,Poor,0.026,1
56,Employed,104292.0,3056.0,14,4369,626.0,0,36281.0,0,0,4686,Excellent,0.348,0
33,Employed,99005.0,905.0,11,5448,597.0,3,28652.0,3,1,30742,Good,0.289,1
52,Employed,27114.0,651.0,15,735,699.0,0,10971.0,2,0,5332,Excellent,0.405,0
27,Employed,30226.0,1613.0,2,458,738.0,6,12054.0,1,0,1000,Good,0.399,0
42,Self-Employed,200000.0,5928.0,7,10782,743.0,3,66324.0,3,1,21849,Good,0.332,1
48,Self-Employed,144076.0,3426.0,6,2239,,1,15304.0,1,0,31728,Poor,0.106,0
22,Unemployed,54055.0,100.0,14,711,643.0,3,40422.0,0,1,16214,Average,0.748,1
62,Employed,63364.0,2848.0,13,2355,734.0,4,37262.0,0,0,15999,Good,0.588,0
65,Self-Employed,38876.0,2273.0,9,1828,703.0,2,7879.0,4,0,5845,Average,0.203,1
26,Employed,69765.0,1305.0,11,3607,690.0,0,28954.0,3,0,28004,Excellent,0.415,0
48,Employed,37073.0,100.0,2,1228,634.0,0,11352.0,0,0,5518,Average,0.306,0
48,Employed,17985.0,2176.0,6,308,643.0,1,14829.0,0,0,1000,Good,0.825,0
64,Employed,26588.0,1270.0,11,1382,686.0,1,12987.0,4,0,2103,Poor,0.488,1
64,Employed,55642.0,2836.0,8,2224,850.0,1,34037.0,2,0,7416,Poor,0.612,0
40,Self-Employed,29525.0,1243.0,6,1587,703.0,0,1922.0,1,0,12321,Good,0.065,0
50,Employed,53002.0,2801.0,8,1954,634.0,2,43995.0,0,1,4112,Excellent,0.83,0
31,Self-Employed,30456.0,100.0,14,705,618.0,3,10719.0,1,0,2779,Good,0.352,0
48,Employed,35767.0,2436.0,2,679,643.0,2,12831.0,2,0,13181,Excellent,0.359,0
45,Employed,87933.0,1903.0,9,3249,843.0,1,4202.0,2,0,30785,Excellent,0.048,0
59,Employed,63020.0,2340.0,12,1257,650.0,3,28686.0,2,0,29517,Poor,0.455,1
53,Employed,54708.0,3386.0,6,2906,748.0,1,12880.0,0,0,14246,Good,0.235,0
21,Employed,89190.0,3969.0,7,1212,652.0,5,42022.0,2,0,5940,Poor,0.471,0
47,Employed,71641.0,2458.0,2,3279,700.0,2,15008.0,1,0,24079,Good,0.209,0
33,Employed,121869.0,1063.0,10,1874,739.0,3,10340.0,2,0,52562,Good,0.085,0
61,Employed,42709.0,1163.0,8,304,637.0,3,10757.0,1,0,20362,Poor,0.252,0
23,Employed,43425.0,2538.0,11,542,632.0,1,17097.0,3,0,20685,Good,0.394,0
59,Unemployed,26889.0,1282.0,9,100,804.0,0,8536.0,1,1,10542,Excellent,0.317,0
26,Employed,43441.0,100.0,3,1581,754.0,4,18138.0,2,0,12081,Good,0.418,0
28,Self-Employed,93500.0,1914.0,15,1812,739.0,2,42806.0,1,0,40145,Good,0.458,0
47,Employed,112429.0,7634.0,14,5496,739.0,4,52433.0,1,0,43623,Average,0.466,0
29,Unemployed,93270.0,3435.0,4,3271,714.0,2,18481.0,1,0,8323,Good,0.198,0
57,Self-Employed,20502.0,479.0,15,842,831.0,1,10580.0,0,0,8484,Excellent,0.516,0
53,Employed,99790.0,2152.0,13,4750,683.0,3,13882.0,0,0,34265,Good,0.139,0
62,Employed,20008.0,121.0,11,942,723.0,1,8155.0,2,0,9656,Average,0.408,0
64,Self-Employed,90134.0,4705.0,6,2326,571.0,3,31021.0,1,0,27685,Poor,0.344,1
44,Employed,44928.0,565.0,14,2080,618.0,4,22307.0,1,0,16081,Good,0.497,1
35,Employed,80941.0,4072.0,15,1779,590.0,4,43508.0,0,0,21351,Excellent,0.538,1
52,Employed,26430.0,1757.0,13,100,776.0,1,2844.0,3,0,8635,Good,0.108,0
52,Self-Employed,104739.0,7934.0,3,4716,489.0,4,48018.0,1,0,19778,Good,0.458,1
44,Self-Employed,24572.0,230.0,10,100,650.0,0,964.0,1,0,4393,Poor,0.039,0
61,Employed,38080.0,2041.0,12,930,455.0,0,28983.0,2,0,15419,Average,0.761,1
32,Employed,31766.0,702.0,7,2119,618.0,0,13209.0,2,0,7443,Average,0.416,1
59,Employed,20957.0,100.0,8,854,643.0,2,12964.0,0,0,6454,Average,0.619,0
22,Employed,57935.0,1648.0,5,895,784.0,3,29503.0,3,0,4062,Excellent,0.509,0
23,Unemployed,148514.0,5352.0,5,7708,710.0,1,92391.0,1,0,43023,Good,0.622,0
57,Employed,200000.0,10846.0,3,3532,618.0,3,119850.0,0,0,60000,Average,0.599,1
37,Employed,58019.0,1247.0,4,2160,760.0,0,29378.0,4,0,20539,Average,0.506,0
22,Employed,101647.0,5947.0,3,4454,681.0,5,28925.0,5,0,22679,Average,0.285,1
22,Self-Employed,62489.0,4979.0,13,2230,683.0,2,42993.0,1,0,28941,Good,0.688,0
48,Employed,72365.0,2811.0,12,2008,590.0,0,49788.0,2,0,4699,Good,0.688,1
43,Employed,45566.0,2290.0,8,2278,606.0,2,14403.0,1,0,3314,Excellent,0.316,1
57,Employed,61229.0,3030.0,3,2449,618.0,3,22062.0,0,0,1516,Good,0.36,0
52,Employed,73917.0,5253.0,2,2565,683.0,1,46462.0,0,0,22924,Excellent,0.629,0
53,Employed,40012.0,100.0,6,1635,686.0,2,9496.0,1,0,5178,Good,0.237,0
21,Employed,52705.0,2237.0,8,2830,796.0,1,14729.0,0,0,18431,Poor,0.279,0
39,Employed,53261.0,1240.0,12,1491,709.0,2,17906.0,0,0,12474,Good,0.336,0
22,Unemployed,86648.0,3203.0,15,2976,477.0,4,5939.0,0,0,6338,Poor,0.069,1
64,Self-Employed,30600.0,1033.0,10,2113,700.0,5,9103.0,1,0,1000,Poor,0.297,0
46,Unemployed,53463.0,100.0,8,1992,571.0,3,33590.0,2,0,6373,Excellent,0.628,1
52,Employed,157423.0,8723.0,6,4958,608.0,4,37622.0,2,1,20066,Average,0.239,1
26,Unemployed,104331.0,986.0,12,4825,619.0,1,71637.0,1,0,16324,Poor,0.687,0
52,Employed,115513.0,5945.0,14,1259,630.0,6,92309.0,4,0,45808,Excellent,0.799,0
24,Employed,55744.0,984.0,15,1716,577.0,4,37118.0,2,0,19173,Good,0.666,1
31,Employed,65620.0,2388.0,6,856,695.0,2,44752.0,1,1,24972,Average,0.682,0
37,Employed,95446.0,4810.0,6,4277,574.0,2,43495.0,2,1,34805,Excellent,0.456,1
58,Self-Employed,129732.0,5487.0,5,2813,707.0,3,58405.0,4,0,19425,Good,0.45,0
44,Employed,18802.0,100.0,4,968,848.0,4,15655.0,0,0,1000,Excellent,0.833,0
25,Employed,26678.0,1511.0,2,100,580.0,2,9517.0,2,0,5440,Average,0.357,1
54,Employed,113016.0,4505.0,14,1496,659.0,1,33788.0,2,0,42579,Good,0.299,1
26,Employed,47231.0,1795.0,11,536,491.0,4,14344.0,0,0,4274,Good,0.304,1
42,Employed,38011.0,1258.0,14,1068,657.0,1,25161.0,0,0,24872,Poor,0.662,1
31,Employed,27593.0,1205.0,15,1478,728.0,4,19304.0,0,0,2592,Average,0.7,0
36,Self-Employed,40531.0,2469.0,5,322,734.0,6,22768.0,1,1,16511,Excellent,0.562,0
53,Self-Employed,25433.0,1758.0,2,291,686.0,3,17792.0,2,0,10265,Excellent,0.7,0
29,Employed,173718.0,9873.0,9,3405,747.0,3,96898.0,2,0,7415,Good,0.558,0
26,Employed,54325.0,2536.0,4,1646,850.0,3,12571.0,1,0,18999,Excellent,0.231,0
36,Employed,53275.0,1745.0,1,1185,808.0,4,8112.0,0,0,29322,Good,0.152,0
49,Self-Employed,76003.0,714.0,10,2179,641.0,6,36534.0,1,0,24545,Good,0.481,0
23,Employed,93375.0,4813.0,1,2975,571.0,3,4710.0,2,1,11217,Average,0.05,1
40,Employed,92534.0,6343.0,10,1805,650.0,3,70564.0,1,1,19740,Good,0.763,1
56,Employed,99268.0,1457.0,5,6013,609.0,1,60771.0,1,0,44819,Average,0.612,0
39,Employed,38876.0,3134.0,11,2909,714.0,1,29013.0,1,0,2012,Good,0.746,0
46,Employed,46689.0,733.0,8,1471,591.0,2,32470.0,1,0,11473,Poor,0.695,1
23,Self-Employed,83957.0,3584.0,11,3490,675.0,3,36342.0,1,0,15466,Good,0.433,0
39,Employed,41152.0,2160.0,7,484,743.0,3,3843.0,1,0,1000,Average,0.093,0
40,Employed,54846.0,1077.0,12,3116,672.0,1,19039.0,2,0,28715,Excellent,0.347,0
52,Self-Employed,68488.0,997.0,7,2413,609.0,3,12332.0,0,0,7914,Excellent,0.18,0
27,Self-Employed,84706.0,1920.0,5,1745,768.0,3,30826.0,2,0,21860,Good,0.364,0
61,Employed,20689.0,100.0,9,414,539.0,2,12642.0,0,0,6140,Good,0.611,0
53,Employed,81487.0,2959.0,5,115,655.0,3,49044.0,1,0,15862,Poor,0.602,0
60,Employed,48365.0,1482.0,1,1447,677.0,4,22497.0,0,0,2136,Excellent,0.465,0
59,Unemployed,81161.0,,5,4541,681.0,1,41468.0,0,0,22006,Excellent,0.511,0
38,Employed,84322.0,6493.0,14,4548,694.0,4,21748.0,1,0,31903,Good,0.258,0
60,Unemployed,133178.0,9434.0,11,7098,726.0,3,52654.0,3,0,57442,Good,0.395,0
21,Self-Employed,115785.0,3383.0,15,3491,677.0,5,28600.0,2,1,39941,Good,0.247,0
31,Employed,115347.0,4325.0,14,3251,652.0,0,31017.0,2,0,43146,Good,0.269,0
48,Employed,121675.0,6704.0,15,3908,649.0,1,75250.0,1,0,44775,Good,0.618,1
45,Employed,64560.0,4130.0,12,2333,634.0,1,24429.0,3,0,15193,Average,0.378,1
43,Employed,55982.0,4153.0,3,2592,739.0,1,9788.0,3,1,13510,Good,0.175,0
51,Employed,88888.0,4462.0,3,4569,632.0,2,28429.0,2,0,30628,Poor,0.32,0
50,Employed,82268.0,3751.0,14,2524,744.0,6,44067.0,0,0,30621,Average,0.536,0
62,Unemployed,46402.0,710.0,5,225,681.0,4,30813.0,1,0,8023,Excellent,0.664,1
55,Employed,68716.0,3072.0,1,900,641.0,3,41759.0,1,0,26453,Excellent,0.608,0
27,Self-Employed,53949.0,2575.0,13,2944,726.0,3,22285.0,1,0,3296,Average,0.413,0
36,Employed,34387.0,1165.0,8,118,625.0,1,6776.0,1,1,9833,Excellent,0.197,1
46,Employed,111842.0,5867.0,9,3230,728.0,2,33109.0,4,0,42191,Excellent,0.296,0
22,Employed,56695.0,246.0,15,1231,696.0,1,5791.0,1,1,17781,Average,0.102,0
21,Employed,169715.0,5589.0,10,2500,635.0,1,83736.0,1,0,6742,Poor,0.493,1
32,Unemployed,22495.0,100.0,4,1839,720.0,3,16970.0,1,0,6011,Average,0.754,0
25,Employed,40492.0,3757.0,1,1267,721.0,3,26652.0,3,1,9357,Excellent,0.658,0
57,Employed,55996.0,782.0,2,2815,767.0,4,1230.0,2,0,17715,Excellent,0.022,0
52,Employed,102811.0,1649.0,12,3392,752.0,3,32083.0,0,0,31357,Good,0.312,0
29,Employed,68514.0,545.0,7,3162,717.0,4,17715.0,0,1,8685,Excellent,0.259,0
61,Employed,65241.0,676.0,1,3411,595.0,1,36411.0,2,0,10938,Good,0.558,0
55,Self-Employed,29587.0,1675.0,3,1130,850.0,1,3388.0,2,0,4737,Good,0.115,0
39,Self-Employed,29108.0,2003.0,12,692,575.0,2,12286.0,1,0,12626,Excellent,0.422,0
36,Employed,65675.0,3046.0,7,1693,751.0,1,0.0,1,0,8588,Poor,0.0,0
23,Employed,25973.0,371.0,4,1675,712.0,2,12512.0,2,0,1000,Excellent,0.482,0
40,Employed,41050.0,1104.0,13,1458,592.0,0,14772.0,0,0,11395,Good,0.36,0
44,Employed,72446.0,100.0,14,2057,,3,17621.0,2,0,19290,Average,0.243,0
53,Employed,32042.0,1767.0,12,1132,674.0,3,0.0,0,1,1000,Poor,0.0,1
44,Employed,132991.0,5817.0,13,4327,778.0,3,40384.0,0,0,34983,Excellent,0.304,0
31,Employed,107824.0,7195.0,15,4475,627.0,4,32791.0,1,0,48514,Poor,0.304,1
28,Employed,23174.0,2323.0,10,695,660.0,1,9590.0,2,0,7417,Good,0.414,1
56,Employed,32935.0,2198.0,14,1934,505.0,1,795.0,0,0,9982,Excellent,0.024,1
58,Employed,15645.0,681.0,4,1781,810.0,1,6217.0,1,1,9561,Average,0.397,0
60,Employed,35763.0,1590.0,1,2383,600.0,2,17421.0,1,0,10893,Good,0.487,0
40,Employed,83835.0,4320.0,8,1450,705.0,0,42148.0,0,1,10745,Excellent,0.503,0
55,Self-Employed,43803.0,590.0,4,859,672.0,0,14243.0,2,0,1722,Good,0.325,0
